Local de residência à data dos Censos [2021] (NUTS - 2013);S7A2011:2011-T:HM-T:Total-T:Total-T:Total;S7A2011:2011-T:HM-T:Total-01:A pé-T:Total;S7A2011:2011-T:HM-T:Total-02:Automovel ligeiro - como condutor-T:Total;S7A2011:2011-T:HM-T:Total-03:Automovel ligeiro - como passageiro-T:Total;S7A2011:2011-T:HM-T:Total-04:Autocarro-T:Total;S7A2011:2011-T:HM-T:Total-05:Transporte coletivo da empresa ou da escola-T:Total;S7A2011:2011-T:HM-T:Total-06:Metropolitano-T:Total;S7A2011:2011-T:HM-T:Total-07:Comboio-T:Total;S7A2011:2011-T:HM-T:Total-08:Motociclo-T:Total;S7A2011:2011-T:HM-T:Total-09:Bicicleta-T:Total;S7A2011:2011-T:HM-T:Total-10:Barco-T:Total;S7A2011:2011-T:HM-T:Total-11:Outro-T:Total;S7A2021:2021-T:HM-T:Total-T:Total-T:Total;S7A2021:2021-T:HM-T:Total-01:A pé-T:Total;S7A2021:2021-T:HM-T:Total-02:Automovel ligeiro - como condutor-T:Total;S7A2021:2021-T:HM-T:Total-03:Automovel ligeiro - como passageiro-T:Total;S7A2021:2021-T:HM-T:Total-04:Autocarro-T:Total;S7A2021:2021-T:HM-T:Total-05:Transporte coletivo da empresa ou da escola-T:Total;S7A2021:2021-T:HM-T:Total-06:Metropolitano-T:Total;S7A2021:2021-T:HM-T:Total-07:Comboio-T:Total;S7A2021:2021-T:HM-T:Total-08:Motociclo-T:Total;S7A2021:2021-T:HM-T:Total-09:Bicicleta-T:Total;S7A2021:2021-T:HM-T:Total-10:Barco-T:Total;S7A2021:2021-T:HM-T:Total-11:Outro-T:Total
0101:Águeda;27467;2501;14852;5684;1404;735;4;365;1326;528;0;68;25333;2197;15127;5312;898;327;7;248;749;371;2;95
0102:Albergaria-a-Velha;14498;1675;7716;2841;1078;340;5;109;535;155;0;44;14034;1427;8342;2751;673;242;4;106;298;140;0;51
0103:Anadia;15778;1392;8318;3277;903;355;6;306;698;488;0;35;14068;1216;8216;2863;615;198;2;235;409;270;1;43
0105:Aveiro;47491;6755;24077;9118;3367;462;16;964;1197;1351;104;80;47190;7049;25231;9001;2192;411;21;996;905;1167;47;170
0108:Estarreja;14677;1689;6958;2644;775;313;7;783;468;996;3;41;13939;1483;7551;2575;551;229;9;555;300;625;0;61
0110:Ílhavo;22357;2253;11280;4152;1237;208;9;266;735;2160;18;39;22146;2096;12394;4411;737;167;13;268;578;1383;13;86
0112:Murtosa;5275;804;2124;767;295;135;1;110;116;893;14;16;5231;584;2518;905;269;115;0;99;82;591;36;32
0114:Oliveira do Bairro;13198;1109;7184;2805;791;251;1;277;403;352;0;25;13108;1134;7648;2862;491;214;4;218;270;221;2;44
0115:Ovar;32325;5212;14465;6291;2214;622;16;1700;792;935;0;78;30544;3729;16245;6231;1088;327;19;1645;586;563;4;107
0117:Sever do Vouga;6444;643;3489;1253;531;334;1;12;154;8;0;19;5349;483;3252;928;340;211;1;27;75;15;0;17
0118:Vagos;12865;901;6741;2491;1057;555;1;75;388;609;1;46;12446;909;7246;2384;702;365;9;108;228;430;3;62
0601:Arganil;5649;937;2606;1045;595;236;2;6;178;25;0;19;4731;732;2467;873;363;137;0;9;100;18;0;32
0602:Cantanhede;18710;1934;9834;3553;1449;544;3;74;524;703;0;92;16406;1655;9631;3115;962;298;3;67;285;347;0;43
0603:Coimbra;85358;9138;43820;16645;12589;1479;34;520;828;156;0;149;77784;8599;42274;15113;9330;718;45;430;831;230;1;213
0604:Condeixa-a-Nova;10180;768;5860;2458;695;163;2;36;123;33;0;42;9625;841;5829;2154;558;84;2;26;83;32;0;16
0605:Figueira da Foz;31359;4182;15635;6217;2436;1202;11;421;729;461;2;63;28033;3872;15294;5551;1521;638;9;332;454;274;2;86
0606:Góis;1797;356;764;255;172;178;0;0;64;6;0;2;1471;262;711;227;133;88;1;1;31;11;0;6
0607:Lousã;10180;1659;4937;2035;1007;208;2;41;181;83;0;27;9167;1243;4895;1852;715;210;8;27;127;62;0;28
0111:Mealhada;11863;1288;6305;2229;655;310;1;517;370;165;0;23;10579;1122;6085;1897;521;231;3;389;212;90;1;28
0608:Mira;6032;606;3139;1202;393;139;0;29;134;355;0;35;5732;567;3288;1192;248;85;0;11;92;225;2;22
0609:Miranda do Corvo;7306;856;3401;1369;1244;279;1;65;63;14;0;14;6154;712;3263;1143;804;146;2;19;38;8;0;19
0610:Montemor-o-Velho;13733;998;7332;2249;1227;722;2;646;307;178;0;72;12611;982;7423;2392;654;377;4;417;212;96;1;53
1808:Mortágua;4425;574;2301;711;282;292;0;48;160;43;0;14;3883;476;2236;599;262;184;1;27;64;25;0;9
0611:Oliveira do Hospital;10743;1753;5036;2022;1159;533;3;8;156;34;0;39;9332;1371;5124;1741;608;304;7;13;97;26;0;41
